Seed,Dataset,Model,HyperOpt params
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0004', 'subsample': '0.9130', 'colsample_bytree': '0.8402', 'max_depth': '5.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0238'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7589', 'colsample_bytree': '0.7708', 'max_depth': '7.0000', 'eta': '0.0041', 'scale_pos_weight': '1.0090'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.2067', 'subsample': '0.7358', 'colsample_bytree': '0.2886', 'max_depth': '11.0000', 'eta': '0.0310', 'scale_pos_weight': '1.0240'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0000', 'subsample': '0.7965', 'colsample_bytree': '0.5320', 'max_depth': '5.0000', 'eta': '0.0378', 'scale_pos_weight': '1.0113'}"
0,报告数据,xgb,"{'lambda': '0.0008', 'gamma': '0.1707', 'subsample': '0.7524', 'colsample_bytree': '0.3088', 'max_depth': '11.0000', 'eta': '0.0021', 'scale_pos_weight': '1.0781'}"
0,报告数据,xgb,"{'lambda': '0.4960', 'gamma': '0.0000', 'subsample': '0.8877', 'colsample_bytree': '0.7678', 'max_depth': '5.0000', 'eta': '0.0252', 'scale_pos_weight': '1.0424'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.2982', 'subsample': '0.7048', 'colsample_bytree': '0.7787', 'max_depth': '11.0000', 'eta': '0.0120', 'scale_pos_weight': '1.0016'}"
0,报告数据,xgb,"{'lambda': '0.0079', 'gamma': '0.0192', 'subsample': '0.8394', 'colsample_bytree': '0.5493', 'max_depth': '7.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0446'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.2321', 'subsample': '0.8713', 'colsample_bytree': '0.7159', 'max_depth': '7.0000', 'eta': '0.0012', 'scale_pos_weight': '1.0103'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0001', 'subsample': '0.8847', 'colsample_bytree': '0.6054', 'max_depth': '7.0000', 'eta': '0.0018', 'scale_pos_weight': '1.0887'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0034', 'subsample': '0.7020', 'colsample_bytree': '0.5365', 'max_depth': '9.0000', 'eta': '0.0019', 'scale_pos_weight': '1.0153'}"
0,报告数据,xgb,"{'lambda': '0.0103', 'gamma': '0.0019', 'subsample': '0.8283', 'colsample_bytree': '0.3997', 'max_depth': '5.0000', 'eta': '0.0488', 'scale_pos_weight': '1.0755'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.9471', 'colsample_bytree': '0.4999', 'max_depth': '11.0000', 'eta': '0.0370', 'scale_pos_weight': '1.0010'}"
0,报告数据,xgb,"{'lambda': '0.0857', 'gamma': '0.0000', 'subsample': '0.8327', 'colsample_bytree': '0.5903', 'max_depth': '9.0000', 'eta': '0.0173', 'scale_pos_weight': '1.0563'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7029', 'colsample_bytree': '0.5091', 'max_depth': '11.0000', 'eta': '0.0054', 'scale_pos_weight': '1.0645'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0153', 'subsample': '0.7716', 'colsample_bytree': '0.6122', 'max_depth': '11.0000', 'eta': '0.0045', 'scale_pos_weight': '1.0600'}"
0,报告数据,xgb,"{'lambda': '0.0006', 'gamma': '0.0204', 'subsample': '0.7038', 'colsample_bytree': '0.7864', 'max_depth': '9.0000', 'eta': '0.0054', 'scale_pos_weight': '1.0418'}"
0,报告数据,xgb,"{'lambda': '0.0190', 'gamma': '0.0000', 'subsample': '0.9061', 'colsample_bytree': '0.4311', 'max_depth': '9.0000', 'eta': '0.0063', 'scale_pos_weight': '1.0345'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7619', 'colsample_bytree': '0.5994', 'max_depth': '7.0000', 'eta': '0.0033', 'scale_pos_weight': '1.0243'}"
0,报告数据,xgb,"{'lambda': '0.2155', 'gamma': '0.0352', 'subsample': '0.7960', 'colsample_bytree': '0.6629', 'max_depth': '9.0000', 'eta': '0.0366', 'scale_pos_weight': '1.0574'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7402', 'colsample_bytree': '0.6764', 'max_depth': '9.0000', 'eta': '0.0025', 'scale_pos_weight': '1.0762'}"
0,报告数据,xgb,"{'lambda': '0.0004', 'gamma': '0.0000', 'subsample': '0.7975', 'colsample_bytree': '0.5704', 'max_depth': '11.0000', 'eta': '0.0034', 'scale_pos_weight': '1.0222'}"
0,报告数据,xgb,"{'lambda': '0.0003', 'gamma': '0.0125', 'subsample': '0.8064', 'colsample_bytree': '0.4192', 'max_depth': '7.0000', 'eta': '0.0479', 'scale_pos_weight': '1.0684'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7786', 'colsample_bytree': '0.7855', 'max_depth': '7.0000', 'eta': '0.0252', 'scale_pos_weight': '1.0638'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7992', 'colsample_bytree': '0.5260', 'max_depth': '9.0000', 'eta': '0.0258', 'scale_pos_weight': '1.0631'}"
0,报告数据,xgb,"{'lambda': '0.0197', 'gamma': '0.0868', 'subsample': '0.7566', 'colsample_bytree': '0.7925', 'max_depth': '9.0000', 'eta': '0.0170', 'scale_pos_weight': '1.0020'}"
0,报告数据,xgb,"{'lambda': '0.7928', 'gamma': '0.0009', 'subsample': '0.9366', 'colsample_bytree': '0.5778', 'max_depth': '11.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0320'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0001', 'subsample': '0.7987', 'colsample_bytree': '0.6467', 'max_depth': '9.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0340'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0038', 'subsample': '0.9075', 'colsample_bytree': '0.7464', 'max_depth': '9.0000', 'eta': '0.0293', 'scale_pos_weight': '1.0316'}"
0,报告数据,xgb,"{'lambda': '0.0105', 'gamma': '0.0005', 'subsample': '0.8796', 'colsample_bytree': '0.5691', 'max_depth': '9.0000', 'eta': '0.0022', 'scale_pos_weight': '1.0595'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0002', 'subsample': '0.7708', 'colsample_bytree': '0.5154', 'max_depth': '7.0000', 'eta': '0.0028', 'scale_pos_weight': '1.0614'}"
0,报告数据,xgb,"{'lambda': '0.0002', 'gamma': '0.1415', 'subsample': '0.8142', 'colsample_bytree': '0.6979', 'max_depth': '7.0000', 'eta': '0.0017', 'scale_pos_weight': '1.0226'}"
0,报告数据,xgb,"{'lambda': '0.0012', 'gamma': '0.0000', 'subsample': '0.7719', 'colsample_bytree': '0.4523', 'max_depth': '11.0000', 'eta': '0.0111', 'scale_pos_weight': '1.0021'}"
0,报告数据,xgb,"{'lambda': '0.0003', 'gamma': '0.0000', 'subsample': '0.7079', 'colsample_bytree': '0.3747', 'max_depth': '3.0000', 'eta': '0.0403', 'scale_pos_weight': '1.0166'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0039', 'subsample': '0.8163', 'colsample_bytree': '0.7801', 'max_depth': '3.0000', 'eta': '0.0039', 'scale_pos_weight': '1.0199'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0091', 'subsample': '0.8530', 'colsample_bytree': '0.5415', 'max_depth': '3.0000', 'eta': '0.0049', 'scale_pos_weight': '1.0850'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7819', 'colsample_bytree': '0.7126', 'max_depth': '3.0000', 'eta': '0.0048', 'scale_pos_weight': '1.0339'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0575', 'subsample': '0.7555', 'colsample_bytree': '0.6527', 'max_depth': '7.0000', 'eta': '0.0055', 'scale_pos_weight': '1.0292'}"
0,报告数据,xgb,"{'lambda': '0.0018', 'gamma': '0.0478', 'subsample': '0.8410', 'colsample_bytree': '0.5543', 'max_depth': '3.0000', 'eta': '0.0160', 'scale_pos_weight': '1.0230'}"
0,报告数据,xgb,"{'lambda': '0.0033', 'gamma': '0.0005', 'subsample': '0.7876', 'colsample_bytree': '0.5486', 'max_depth': '5.0000', 'eta': '0.0058', 'scale_pos_weight': '1.0892'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.1289', 'subsample': '0.7737', 'colsample_bytree': '0.4670', 'max_depth': '5.0000', 'eta': '0.0024', 'scale_pos_weight': '1.0614'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0001', 'subsample': '0.8806', 'colsample_bytree': '0.3480', 'max_depth': '7.0000', 'eta': '0.0394', 'scale_pos_weight': '1.0531'}"
0,报告数据,xgb,"{'lambda': '0.0191', 'gamma': '0.0081', 'subsample': '0.8800', 'colsample_bytree': '0.8477', 'max_depth': '3.0000', 'eta': '0.0491', 'scale_pos_weight': '1.0646'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0001', 'subsample': '0.7458', 'colsample_bytree': '0.6026', 'max_depth': '9.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0612'}"
0,报告数据,xgb,"{'lambda': '0.0851', 'gamma': '0.0000', 'subsample': '0.7054', 'colsample_bytree': '0.6010', 'max_depth': '9.0000', 'eta': '0.0033', 'scale_pos_weight': '1.0801'}"
0,报告数据,xgb,"{'lambda': '0.0155', 'gamma': '0.0158', 'subsample': '0.8404', 'colsample_bytree': '0.6044', 'max_depth': '9.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0334'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0038', 'subsample': '0.7510', 'colsample_bytree': '0.8162', 'max_depth': '9.0000', 'eta': '0.0051', 'scale_pos_weight': '1.0150'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0009', 'subsample': '0.8413', 'colsample_bytree': '0.7225', 'max_depth': '11.0000', 'eta': '0.0080', 'scale_pos_weight': '1.0616'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0181', 'subsample': '0.9294', 'colsample_bytree': '0.8172', 'max_depth': '3.0000', 'eta': '0.0268', 'scale_pos_weight': '1.0120'}"
